off1,off2,off3,off4,off5,def1,def2,def3,def4,def5,Points
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,2
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,2
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,0
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,2
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,2
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,3
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,2
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,1
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,0
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,2
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,2
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,0
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,0
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,2
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,2
203398,201886,101023,201896,100940,202633,203400,202640,1628277,1628922,0
202633,203400,202640,1628277,1628922,203398,201886,101023,201896,100940,0
203828,1628931,1628890,201516,203563,203831,204365,200676,1627676,1627681,0
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203563,0
203828,1628931,1628890,201516,203563,203831,204365,200676,1627676,1627681,0
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203563,2
203828,1628931,1628890,201516,203563,203831,204365,200676,1627676,1627681,3
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203563,0
203828,1628931,1628890,201516,203563,203831,204365,200676,1627676,1627681,2
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203563,2
203828,1628931,1628890,201516,203563,203831,204365,200676,1627676,1627681,0
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203857,1
203828,1628931,1628890,201516,203857,203831,204365,200676,1627676,1627681,0
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203857,0
203828,1628931,1628890,201516,203857,203831,204365,200676,1627676,1627681,0
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203857,0
203828,1628931,1628890,201516,203857,203831,204365,200676,1627676,1627681,0
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203857,2
203828,1628931,1628890,201516,203857,203831,204365,200676,1627676,1627681,0
203831,204365,200676,1627676,1627681,203828,1628931,1628890,201516,203857,2
203828,204323,1627674,202652,203857,203831,1628909,200676,1627676,1627681,3
203831,1628909,200676,1627676,1627681,203828,204323,1627674,202652,203857,0
203828,204323,1627674,202652,203857,203831,1628909,200676,1627676,1627681,0
203405,1628909,200676,1627676,1627681,1628268,204323,1627674,202652,203857,0
1628268,204323,1627674,202652,203857,203405,1628909,200676,1627676,1627681,0
203405,1628909,200676,1627676,1627681,1628268,204323,1627674,202652,203857,2
1628268,204323,1627674,202652,203857,203405,1628909,200676,1627676,1627681,2
203405,1628909,200676,1627676,1627681,1628268,204323,1627674,202652,203857,2
1628268,204323,1627674,202652,203857,203405,1628909,200676,1627676,1627681,0
203405,1628909,1628286,1628868,1627681,1628268,204323,1627674,202652,203857,0
1628268,204323,1627674,202652,203857,203405,1628909,1628286,1628868,1627681,0
203405,1628909,1628286,1628868,1627681,1628268,204323,1627674,202652,203857,0
203563,203828,201516,1628931,1628890,203405,1628909,1628286,1628868,1627681,0
203405,1628909,1628286,1628868,1627676,203563,203828,201516,1628931,1628890,0
203563,203828,201516,1628931,1628890,203405,1628909,1628286,1628868,1627676,0
203405,1628909,1628286,1628868,1627676,203563,203828,201516,1628931,1628890,0
203563,203828,201516,1628931,1628890,203405,1628909,1628286,1628868,1627676,0
203405,1628909,1628286,1628868,1627676,203563,203828,201516,1628931,1628890,0
203563,203828,201516,1628931,1628890,203405,204365,1628286,1628868,1627676,2
